,H_IMDB,H_IMDA,H_CTL,M_IMDA,M_IMDB,M_CTL,R_IMDA,R_IMDB,R_CTL
LOC100742577,68.67850042,74.50940576,77.34542043,73.57774171,80.46495651,69.84895466,71.55103886,80.86794761,71.64514813
LOC100742578,4.600847382,4.033959992,3.716765817,3.886215677,3.778175984,3.362387071,4.275863573,4.004783799,3.881546056
LOC100742579,0.229339985,0.370076323,0.191749249,0.417039697,0.346683478,0.271772966,0.200595197,0.179723133,0.201132319
LOC100742580,16.26110204,14.90568302,13.13565864,14.14314166,13.63578956,12.05851767,14.42919276,13.55022474,14.47503635
LOC100742581,15.36640596,15.11333305,16.23247413,15.07831914,15.15253891,14.83108789,13.83280582,16.26451581,14.19170166
LOC100742582,25.28657931,29.99570292,31.57027892,29.92232188,31.22195403,31.3422573,27.61888523,30.40328458,30.32899241
LOC100742583,15.04030482,16.3632122,15.93462077,15.45575955,15.78876664,14.95445515,15.25058661,15.59124252,15.40345498
LOC100742585,27.68126516,24.83725179,29.62775036,28.41520854,28.79886318,26.62077442,28.38854298,28.554693,27.73736035
LOC100742586,29.65827525,35.26875835,34.32903918,37.65829124,35.79183321,42.87360047,37.8641795,38.06838797,38.66501254
LOC100742587,12.18723911,14.31657483,15.8221044,17.71263902,18.20324611,18.01747949,16.90656442,17.59241797,14.93978933
LOC100742588,51.95647035,46.2634375,37.48964672,42.96018222,41.5615889,41.39491063,53.59701555,41.11553534,46.38978217
LOC100742589,24.71654436,28.4680217,28.69576865,26.56389995,28.00556736,25.76080133,25.48456418,28.69391715,25.79379845
LOC100742590,37.99072867,35.86195603,39.04733933,39.30673044,41.3873089,39.77989447,40.83462538,43.33843129,38.52127817
LOC100742591,188.4053648,165.8038655,148.3277503,159.3578246,148.2910982,162.6303426,193.0326674,132.7790266,180.575415
LOC100742592,2.859607941,2.847368892,3.063588239,2.337184147,2.482947201,2.14938018,1.836744739,2.134329834,2.380625472
LOC100742593,1.001775758,0.991827862,1.208586052,1.063086355,0.717656905,0.854553423,0.685044909,0.721804358,1.026505065
LOC100742594,26.79970223,22.18704163,20.03787818,18.0790643,18.85561428,16.31251144,17.64401868,16.68306051,21.54319612
LOC100742595,10.69157798,12.2992857,12.22036646,12.82940718,13.59332019,14.15716311,13.77322856,14.37671446,13.37858081
LOC100742596,25.06213538,22.0927065,21.55083713,23.6433264,23.91741521,21.47555445,23.2967868,28.70324468,21.93879923
LOC100742598,743.5286204,758.7081152,708.175781,765.9529095,764.1155792,747.4602359,793.5941915,696.8347407,786.3283697
LOC100742599,17.2754238,17.04533895,13.87722292,15.23559967,15.97267826,14.45242841,17.65326854,15.9112158,16.60747005
LOC100742600,9.632264525,10.16537844,10.77976128,10.76563115,11.29772492,10.99826959,11.58434813,12.2109095,11.52771381
LOC100742601,18.51228698,18.59702092,17.97747514,17.35138387,17.19601681,16.14128508,15.43047644,16.7314838,17.77441324
LOC100742602,12.05858968,13.26223786,13.56977177,12.99187585,11.45321415,11.30004832,13.83748769,12.66258512,12.28691983
LOC100742603,25.16412916,19.78693244,20.78023831,18.99004052,18.75552289,17.93045331,18.31836497,19.19197169,20.60576391
LOC100742604,6.621407218,4.804981418,4.1397613,12.42655359,5.165996516,15.98627147,8.433427054,14.47034128,6.886442387
LOC100742605,8.935930094,9.20455628,10.89045842,9.290135831,9.442369243,9.434085311,9.255565291,11.34921597,9.247643801
LOC100742606,44.00524391,44.51598885,41.08683456,41.34808515,42.32259008,39.93728299,42.46384243,47.38261829,40.29274115
LOC100742607,23.63556304,23.27362572,22.37037623,23.84707304,23.42152934,21.92105055,23.88412535,23.31647412,23.95992575
LOC100742608,3.55130676,3.924381749,4.507217845,3.060106142,2.163579979,2.051731374,2.072155206,1.743031501,2.800012032
LOC100742610,0.415855464,0.482550806,0.503896904,0.581322579,0.472424766,0.39369821,0.965942759,0.591319341,0.394776555
LOC100742611,27.85137094,27.31475695,28.84247603,30.24090452,33.46672901,29.01195573,28.77345637,28.82201636,29.68726843
LOC100742612,3.171231293,3.061214447,2.850705101,5.417346292,3.632598357,4.153805364,3.109367642,3.626971728,4.203240655
